sentence	sentence_id	locale	reason
Saya tidak dapat berpikir bahwa ceritamu benar.	8c74b5ec1df2433e5e0f298d0e375b6176299449b32d9e8169840bed734078cb	id	grammar-or-spelling
Sebelum mask ketuk pintu dahulu	96a2444c53940e39a8e982fe65850c67286492f1c2a4347c587d2c7b9674532f	id	grammar-or-spelling
Dick telah mengalami kecelakaan lalu-lintas.	a2a36d50c481eeeb81dd660e15f2bc84b43ca3518c8e82c3f562843c31cbb8c1	id	offensive-language
Apakah anda makan dirumah atau makan diluar?	863df6fa9abe8e8158fed70d046dbf8bb233e832f3c67e0a50eff7cf10152c51	id	grammar-or-spelling
Saya memasukkan tiga sendok gula dengan sendok.	b475e8bc279b50e86431e6046dfa00938045ddfaf8209aa7f86e41b1e3d9c6ff	id	grammar-or-spelling
Di atas meja ada berapa buah gelas.	767668e6e352f683f5272953b643f7a1e11051e99f998eb0bb06796efd8727f9	id	grammar-or-spelling
Bila aku katakan pada ibuku, dia akan kuatir, maka aku tidak berfikir untuk mengatakannya.	91a7afde6ea234726c1cab45a0471058d8520d853a134f2aafc23f6089ece0dc	id	grammar-or-spelling
Permisi, apa waktu itu?	b0053a5ca91aa6d85bb0d5293417adbaa094088aaf01aea4221b8aa75d10f64b	id	grammar-or-spelling
Orang Jepang dan Inggris biasanya menunggu di pemberhentian bis dengan mengantri.	8f8ee56c4dc4721694128cf17a653efa68739e01a5569e1af143f28d006a3c2c	id	grammar-or-spelling
Buku tulis ini lebih panjang lebarnya daripada panjangnya.	7aceb083a9e5dd6b19c2069a3382678732988e32fd607efb0dc6aa154443cd10	id	grammar-or-spelling
Muiriel tidak ada pilihan lain. Dia hanya dengan menerima kekalahannya.	66a50d7010152568aa2adcbf84ef477f6238f77e2e7ddf25fcd91b44d120f82c	id	grammar-or-spelling
relajar di negara orang	a27e1f14c23973dbb3bb88f4512640b7d67e1c5fff7429bf648192b744411a60	id	grammar-or-spelling
Dia menyandarkan kepalanya diatas bantal.	a906cc1f8bcbfa08a6997e172bc0b05e21b330cec3a1f599877cb7df7c90e581	id	grammar-or-spelling
Siapa nama anda, pak?	61e14aa9a4adc9209d61e43b885c048142828ddade5f0c3a3cd8bd317b112f66	id	grammar-or-spelling
Permisi, apa waktu itu?	b0053a5ca91aa6d85bb0d5293417adbaa094088aaf01aea4221b8aa75d10f64b	id	grammar-or-spelling
Tanya rumahnya dimana!	6c4052d71ecb6fe7161c34ae7a0ebc29e345a47c6df2d9e675f6ec02bd5a0228	id	grammar-or-spelling
Dia belum datang.	542eef70854bedf39bb154455c64bf0ac66f3fde24cab47a78de32b7aad26dd5	id	offensive-language
Dia belum datang.	542eef70854bedf39bb154455c64bf0ac66f3fde24cab47a78de32b7aad26dd5	id	grammar-or-spelling
Dia belum datang.	542eef70854bedf39bb154455c64bf0ac66f3fde24cab47a78de32b7aad26dd5	id	different-language
Dia belum datang.	542eef70854bedf39bb154455c64bf0ac66f3fde24cab47a78de32b7aad26dd5	id	difficult-pronunciation
